Region,Model,Metric,PointEstimate,CI_lower,CI_upper,n_valid_boot
AGGREGATE,Standard MLP (baseline),Accuracy,0.7545214770158252,0.7430293896006028,0.766018274302939,2000
AGGREGATE,Standard MLP (baseline),Precision,0.7526595744680851,0.7354905759335812,0.7694113306623679,2000
AGGREGATE,Standard MLP (baseline),Recall,0.7523737181921762,0.7357569268876321,0.7696457135491298,2000
AGGREGATE,Standard MLP (baseline),F1,0.7525166191832858,0.7392464515436153,0.7660941758270686,2000
AGGREGATE,Standard MLP (baseline),ROC-AUC,0.8355357415406897,0.8251857994724532,0.8459185054609415,2000
AGGREGATE,Standard MLP (baseline),PR-AUC,0.8440516235875891,0.830176366212463,0.8572296395564557,2000
AGGREGATE,XGBoost (baseline),Accuracy,0.7667671439336851,0.7554634513941221,0.7778824415975886,2000
AGGREGATE,XGBoost (baseline),Precision,0.7992277992277992,0.7827758695978944,0.815935296443789,2000
AGGREGATE,XGBoost (baseline),Recall,0.7075579187238891,0.6909483208055379,0.7253615007798739,2000
AGGREGATE,XGBoost (baseline),F1,0.7506043513295729,0.7373014638174908,0.7640458446785174,2000
AGGREGATE,XGBoost (baseline),ROC-AUC,0.8437574139871012,0.8336053803834267,0.8536931989888271,2000
AGGREGATE,XGBoost (baseline),PR-AUC,0.854792254933892,0.8420582601961217,0.8673697781772182,2000
AGGREGATE,TabNet (baseline),Accuracy,0.7575357950263752,0.7462273926149209,0.7688394875659382,2000
AGGREGATE,TabNet (baseline),Precision,0.7681274900398406,0.7518221610916143,0.7851827431271766,2000
AGGREGATE,TabNet (baseline),Recall,0.7322445879225218,0.7155716024530687,0.7487994109109537,2000
AGGREGATE,TabNet (baseline),F1,0.7497569511958001,0.7365763083137823,0.7628867963461187,2000
AGGREGATE,TabNet (baseline),ROC-AUC,0.8344535745090174,0.823378703701053,0.8453379656633541,2000
AGGREGATE,TabNet (baseline),PR-AUC,0.8493097498823883,0.8360871546114347,0.8615352408675016,2000
AGGREGATE,Proposed SFTNN,Accuracy,0.7581009796533534,0.746792577241899,0.7690278824415976,2000
AGGREGATE,Proposed SFTNN,Precision,0.7734089987839481,0.7572804943330393,0.7896277857829402,2000
AGGREGATE,Proposed SFTNN,Recall,0.7246486897075579,0.7075413567759282,0.7414820542191677,2000
AGGREGATE,Proposed SFTNN,F1,0.7482352941176471,0.7352351193864102,0.7613800911481071,2000
AGGREGATE,Proposed SFTNN,ROC-AUC,0.8354152720147943,0.8252294068147593,0.8458421776796406,2000
AGGREGATE,Proposed SFTNN,PR-AUC,0.844651022808572,0.8306741941358023,0.8576583048467236,2000
Africa,Standard MLP (baseline),Accuracy,0.8333333333333334,0.6666666666666666,0.9583333333333334,2000
Africa,Standard MLP (baseline),Precision,1.0,0.0,1.0,2000
Africa,Standard MLP (baseline),Recall,0.3333333333333333,0.0,0.7783333333333303,2000
Africa,Standard MLP (baseline),F1,0.5,0.0,0.8753472222222203,2000
Africa,Standard MLP (baseline),ROC-AUC,0.6296296296296298,0.3173767752715121,0.9372222222222218,1999
Africa,Standard MLP (baseline),PR-AUC,0.5605820105820105,0.16630752606153063,0.8834523809523808,1999
Africa,XGBoost (baseline),Accuracy,0.875,0.75,1.0,2000
Africa,XGBoost (baseline),Precision,1.0,0.0,1.0,2000
Africa,XGBoost (baseline),Recall,0.5,0.0,1.0,2000
Africa,XGBoost (baseline),F1,0.6666666666666666,0.0,1.0,2000
Africa,XGBoost (baseline),ROC-AUC,0.8148148148148148,0.55,1.0,1999
Africa,XGBoost (baseline),PR-AUC,0.7393790849673202,0.3888492063492063,1.0,1999
Africa,TabNet (baseline),Accuracy,0.7916666666666666,0.625,0.9583333333333334,2000
Africa,TabNet (baseline),Precision,0.6666666666666666,0.0,1.0,2000
Africa,TabNet (baseline),Recall,0.3333333333333333,0.0,0.7783333333333303,2000
Africa,TabNet (baseline),F1,0.4444444444444444,0.0,0.8,2000
Africa,TabNet (baseline),ROC-AUC,0.5462962962962963,0.17391304347826086,0.9365079365079365,1999
Africa,TabNet (baseline),PR-AUC,0.5388755980861244,0.14543365641711228,0.8787878787878787,1999
Africa,Proposed SFTNN,Accuracy,0.875,0.7083333333333334,1.0,2000
Africa,Proposed SFTNN,Precision,0.8,0.3333333333333333,1.0,2000
Africa,Proposed SFTNN,Recall,0.6666666666666666,0.25,1.0,2000
